date,tmean_C
1992-08-25,27.4
1992-08-26,27.8
1992-08-27,27.0
1992-08-28,27.2
1992-08-29,27.4
1992-08-30,26.5
1992-08-31,26.4
1993-08-01,26.0
1993-08-02,22.4
1993-08-03,19.7
1993-08-04,20.4
1993-08-05,21.0
1993-08-06,19.2
1993-08-07,21.1
1993-08-08,21.0
1993-08-09,20.4
1993-08-10,21.6
1993-08-11,25.2
1993-08-12,24.4
1993-08-13,24.7
1993-08-14,24.6
1993-08-15,25.1
1993-08-16,23.4
1993-08-17,24.2
1993-08-18,24.7
1993-08-19,24.5
1993-08-20,25.5
1993-08-21,25.2
1993-08-22,25.6
1993-08-23,25.6
1993-08-24,25.5
1993-08-25,25.6
1993-08-26,24.3
1993-08-27,24.0
1993-08-28,25.5
1993-08-29,24.7
1993-08-30,24.6
1993-08-31,24.9
1994-08-01,29.0
1994-08-02,30.5
1994-08-03,30.7
1994-08-04,30.4
1994-08-05,29.6
1994-08-06,28.7
1994-08-07,29.5
1994-08-08,29.4
1994-08-09,28.7
1994-08-10,28.4
1994-08-11,27.7
1994-08-12,27.6
1994-08-13,28.0
1994-08-14,28.3
1994-08-15,28.6
1994-08-16,28.6
1994-08-17,28.0
1994-08-18,27.4
1994-08-19,26.8
1994-08-20,24.8
1994-08-21,23.0
1994-08-22,23.0
1994-08-23,24.2
1994-08-24,25.0
1994-08-25,25.1
1994-08-26,25.6
1994-08-27,26.1
1994-08-28,26.7
1994-08-29,27.1
1994-08-30,27.0
1994-08-31,26.6
1995-08-01,28.7
1995-08-02,28.6
1995-08-03,28.4
1995-08-04,29.5
1995-08-05,28.1
1995-08-06,28.3
1995-08-07,27.9
1995-08-08,29.1
1995-08-09,29.7
1995-08-10,29.1
1995-08-11,27.3
1995-08-12,26.3
1995-08-13,26.3
1995-08-14,26.6
1995-08-15,27.5
1995-08-16,28.9
1995-08-17,28.2
1995-08-18,27.3
1995-08-19,29.4
1995-08-20,29.3
1995-08-21,29.3
1995-08-22,27.6
1995-08-23,27.2
1995-08-24,28.4
1995-08-25,28.9
1995-08-26,29.5
1995-08-27,29.3
1995-08-28,29.7
1995-08-29,26.1
1995-08-30,25.8
1995-08-31,25.8
1996-08-01,26.8
1996-08-02,26.7
1996-08-03,23.9
1996-08-04,26.5
1996-08-05,26.7
1996-08-06,23.3
1996-08-07,22.8
1996-08-08,22.6
1996-08-09,24.1
1996-08-10,24.3
1996-08-11,25.0
1996-08-12,25.6
1996-08-13,25.2
1996-08-14,26.6
1996-08-15,28.7
1996-08-16,28.3
1996-08-17,25.7
1996-08-18,25.5
1996-08-19,25.9
1996-08-20,23.3
1996-08-21,23.7
1996-08-22,25.0
1996-08-23,26.0
1996-08-24,23.8
1996-08-25,21.5
1996-08-26,20.8
1996-08-27,20.5
1996-08-28,21.0
1996-08-29,22.5
1996-08-30,24.0
1996-08-31,23.0
1997-08-01,25.5
1997-08-02,26.8
1997-08-03,26.5
1997-08-04,26.6
1997-08-05,25.5
1997-08-06,25.2
1997-08-07,26.3
1997-08-08,26.5
1997-08-09,26.8
1997-08-10,27.7
1997-08-11,27.6
1997-08-12,26.3
1997-08-13,26.8
1997-08-14,23.1
1997-08-15,21.5
1997-08-16,20.5
1997-08-17,20.7
1997-08-18,22.7
1997-08-19,24.6
1997-08-20,24.8
1997-08-21,26.5
1997-08-22,25.5
1997-08-23,26.3
1997-08-24,26.0
1997-08-25,24.2
1997-08-26,23.5
1997-08-27,24.3
1997-08-28,25.1
1997-08-29,25.3
1997-08-30,26.0
1997-08-31,25.1
1998-08-01,25.7
1998-08-02,26.8
1998-08-03,27.5
1998-08-04,27.6
1998-08-05,26.2
1998-08-06,26.1
1998-08-07,27.1
1998-08-08,22.6
1998-08-09,21.4
1998-08-10,23.3
1998-08-11,25.5
1998-08-12,27.1
1998-08-13,27.6
1998-08-14,26.0
1998-08-15,25.6
1998-08-16,27.7
1998-08-17,27.2
1998-08-18,25.2
1998-08-19,25.2
1998-08-20,26.9
1998-08-21,26.2
1998-08-22,24.8
1998-08-23,24.8
1998-08-24,25.4
1998-08-25,26.4
1998-08-26,26.5
1998-08-27,25.4
1998-08-28,25.6
1998-08-29,25.3
1998-08-30,25.3
1998-08-31,22.6
1999-08-01,27.0
1999-08-02,26.8
1999-08-03,27.3
1999-08-04,27.4
1999-08-05,26.8
1999-08-06,26.3
1999-08-07,26.4
1999-08-08,26.9
1999-08-09,26.6
1999-08-10,25.9
1999-08-11,26.6
1999-08-12,27.1
1999-08-13,26.1
1999-08-14,25.1
1999-08-15,26.7
1999-08-16,26.5
1999-08-17,27.2
1999-08-18,27.4
1999-08-19,26.8
1999-08-20,26.4
1999-08-21,26.1
1999-08-22,26.5
1999-08-23,27.6
1999-08-24,26.8
1999-08-25,25.6
1999-08-26,24.5
1999-08-27,26.6
1999-08-28,26.2
1999-08-29,26.9
1999-08-30,26.2
1999-08-31,27.1
2000-08-01,27.4
2000-08-02,27.2
2000-08-03,27.7
2000-08-04,27.4
2000-08-05,27.0
2000-08-06,26.9
2000-08-07,26.5
2000-08-08,26.4
2000-08-09,26.2
2000-08-10,26.7
2000-08-11,27.3
2000-08-12,26.7
2000-08-13,24.5
2000-08-14,26.1
2000-08-15,26.4
2000-08-16,25.9
2000-08-17,25.4
2000-08-18,24.8
2000-08-19,25.0
2000-08-20,24.8
2000-08-21,26.5
2000-08-22,27.7
2000-08-23,27.4
2000-08-24,26.6
2000-08-25,27.0
2000-08-26,27.1
2000-08-27,27.4
2000-08-28,26.9
2000-08-29,27.2
2000-08-30,27.1
2000-08-31,26.0
2001-08-01,29.2
2001-08-02,26.9
2001-08-03,26.8
2001-08-04,28.7
2001-08-05,24.8
2001-08-06,23.6
2001-08-07,23.8
2001-08-08,24.9
2001-08-09,26.8
2001-08-10,27.3
2001-08-11,25.9
2001-08-12,25.6
2001-08-13,26.2
2001-08-14,26.9
2001-08-15,26.6
2001-08-16,25.8
2001-08-17,25.2
2001-08-18,24.4
2001-08-19,23.1
2001-08-20,24.1
2001-08-21,23.7
2001-08-22,25.5
2001-08-23,26.2
2001-08-24,26.5
2001-08-25,25.7
2001-08-26,25.9
2001-08-27,25.3
2001-08-28,24.9
2001-08-29,24.0
2001-08-30,24.1
2001-08-31,22.3
2002-08-01,29.1
2002-08-02,28.2
2002-08-03,26.7
2002-08-04,26.1
2002-08-05,27.4
2002-08-06,29.2
2002-08-07,28.9
2002-08-08,28.3
2002-08-09,28.3
2002-08-10,28.6
2002-08-11,29.0
2002-08-12,28.0
2002-08-13,28.0
2002-08-14,28.1
2002-08-15,28.2
2002-08-16,27.3
2002-08-17,25.2
2002-08-18,24.6
2002-08-19,24.1
2002-08-20,24.9
2002-08-21,22.5
2002-08-22,21.8
2002-08-23,21.9
2002-08-24,24.1
2002-08-25,25.4
2002-08-26,24.8
2002-08-27,25.6
2002-08-28,26.4
2002-08-29,26.6
2002-08-30,26.6
2002-08-31,26.3
2003-08-01,22.7
2003-08-02,25.3
2003-08-03,25.8
2003-08-04,26.6
2003-08-05,26.7
2003-08-06,26.7
2003-08-07,26.3
2003-08-08,25.4
2003-08-09,25.7
2003-08-10,26.5
2003-08-11,25.8
2003-08-12,25.2
2003-08-13,22.3
2003-08-14,19.9
2003-08-15,19.4
2003-08-16,19.4
2003-08-17,20.4
2003-08-18,22.0
2003-08-19,21.4
2003-08-20,23.2
2003-08-21,25.5
2003-08-22,26.0
2003-08-23,26.8
2003-08-24,27.6
2003-08-25,26.6
2003-08-26,26.3
2003-08-27,24.1
2003-08-28,23.7
2003-08-29,26.3
2003-08-30,24.2
2003-08-31,23.5
2004-08-01,26.1
2004-08-02,25.8
2004-08-03,26.3
2004-08-04,27.0
2004-08-05,26.7
2004-08-06,27.5
2004-08-07,27.1
2004-08-08,27.0
2004-08-09,27.5
2004-08-10,28.4
2004-08-11,28.0
2004-08-12,27.6
2004-08-13,28.7
2004-08-14,29.4
2004-08-15,22.3
2004-08-16,24.5
2004-08-17,25.6
2004-08-18,28.4
2004-08-19,28.4
2004-08-20,29.2
2004-08-21,25.4
2004-08-22,26.3
2004-08-23,22.5
2004-08-24,26.0
2004-08-25,24.4
2004-08-26,24.0
2004-08-27,23.8
2004-08-28,21.4
2004-08-29,20.2
2004-08-30,24.4
2004-08-31,27.4
2005-08-01,25.7
2005-08-02,25.5
2005-08-03,26.8
2005-08-04,27.9
2005-08-05,28.1
2005-08-06,27.3
2005-08-07,27.1
2005-08-08,27.0
2005-08-09,26.3
2005-08-10,26.5
2005-08-11,26.4
2005-08-12,25.2
2005-08-13,25.3
2005-08-14,26.0
2005-08-15,27.2
2005-08-16,24.7
2005-08-17,25.1
2005-08-18,25.9
2005-08-19,26.5
2005-08-20,26.8
2005-08-21,26.6
2005-08-22,26.2
2005-08-23,26.1
2005-08-24,23.6
2005-08-25,23.5
2005-08-26,27.6
2005-08-27,26.5
2005-08-28,23.5
2005-08-29,24.5
2005-08-30,24.6
2005-08-31,24.5
2006-08-01,21.9
2006-08-02,23.9
2006-08-03,25.2
2006-08-04,26.1
2006-08-05,27.5
2006-08-06,26.8
2006-08-07,27.2
2006-08-08,25.5
2006-08-09,24.8
2006-08-10,26.3
2006-08-11,26.0
2006-08-12,25.0
2006-08-13,25.2
2006-08-14,26.0
2006-08-15,25.4
2006-08-16,26.5
2006-08-17,26.6
2006-08-18,27.2
2006-08-19,27.4
2006-08-20,27.1
2006-08-21,26.7
2006-08-22,26.2
2006-08-23,26.4
2006-08-24,26.9
2006-08-25,26.3
2006-08-26,25.0
2006-08-27,24.4
2006-08-28,24.4
2006-08-29,25.3
2006-08-30,24.7
2006-08-31,24.1
2007-08-01,25.0
2007-08-02,26.6
2007-08-03,26.4
2007-08-04,27.1
2007-08-05,27.3
2007-08-06,27.2
2007-08-07,26.7
2007-08-08,26.8
2007-08-09,27.2
2007-08-10,28.3
2007-08-11,29.1
2007-08-12,27.2
2007-08-13,27.2
2007-08-14,27.8
2007-08-15,29.2
2007-08-16,30.7
2007-08-17,30.4
2007-08-18,26.2
2007-08-19,27.2
2007-08-20,28.8
2007-08-21,28.4
2007-08-22,29.5
2007-08-23,25.9
2007-08-24,26.5
2007-08-25,27.3
2007-08-26,27.8
2007-08-27,28.0
2007-08-28,28.2
2007-08-29,23.6
2007-08-30,23.6
2007-08-31,23.8
2008-08-01,26.1
2008-08-02,27.2
2008-08-03,28.6
2008-08-04,29.6
2008-08-05,27.3
2008-08-06,28.0
2008-08-07,28.3
2008-08-08,29.0
2008-08-09,28.5
2008-08-10,26.3
2008-08-11,27.0
2008-08-12,27.3
2008-08-13,28.0
2008-08-14,28.9
2008-08-15,29.2
2008-08-16,28.4
2008-08-17,23.8
2008-08-18,24.3
2008-08-19,27.3
2008-08-20,26.5
2008-08-21,25.1
2008-08-22,21.9
2008-08-23,21.1
2008-08-24,22.2
2008-08-25,23.3
2008-08-26,23.1
2008-08-27,23.6
2008-08-28,24.2
2008-08-29,25.3
2008-08-30,24.9
2008-08-31,25.1
2009-08-01,23.7
2009-08-02,24.5
2009-08-03,25.7
2009-08-04,25.1
2009-08-05,25.5
2009-08-06,26.0
2009-08-07,26.5
2009-08-08,26.6
2009-08-09,26.5
2009-08-10,25.8
2009-08-11,25.4
2009-08-12,25.0
2009-08-13,27.5
2009-08-14,27.0
2009-08-15,25.3
2009-08-16,24.9
2009-08-17,24.2
2009-08-18,24.5
2009-08-19,25.0
2009-08-20,24.8
2009-08-21,25.7
2009-08-22,26.5
2009-08-23,25.6
2009-08-24,23.4
2009-08-25,22.4
2009-08-26,22.2
2009-08-27,22.8
2009-08-28,24.6
2009-08-29,25.9
2009-08-30,23.4
2009-08-31,19.9
2010-08-01,28.1
2010-08-02,27.4
2010-08-03,27.2
2010-08-04,27.4
2010-08-05,27.8
2010-08-06,27.4
2010-08-07,27.1
2010-08-08,27.4
2010-08-09,25.4
2010-08-10,26.3
2010-08-11,26.5
2010-08-12,26.5
2010-08-13,26.8
2010-08-14,27.1
2010-08-15,28.5
2010-08-16,29.5
2010-08-17,29.6
2010-08-18,28.3
2010-08-19,27.3
2010-08-20,26.1
2010-08-21,26.5
2010-08-22,27.7
2010-08-23,27.9
2010-08-24,27.8
2010-08-25,27.9
2010-08-26,27.9
2010-08-27,28.0
2010-08-28,28.0
2010-08-29,28.4
2010-08-30,28.9
2010-08-31,29.2
2011-08-01,23.8
2011-08-02,24.4
2011-08-03,25.3
2011-08-04,25.6
2011-08-05,25.7
2011-08-06,27.1
2011-08-07,27.3
2011-08-08,27.3
2011-08-09,27.7
2011-08-10,28.2
2011-08-11,29.0
2011-08-12,28.3
2011-08-13,28.1
2011-08-14,28.3
2011-08-15,28.1
2011-08-16,28.6
2011-08-17,29.1
2011-08-18,29.7
2011-08-19,25.3
2011-08-20,23.0
2011-08-21,21.4
2011-08-22,21.9
2011-08-23,25.3
2011-08-24,25.8
2011-08-25,26.1
2011-08-26,25.6
2011-08-27,24.1
2011-08-28,24.7
2011-08-29,24.7
2011-08-30,25.0
2011-08-31,25.5
2012-08-01,27.3
2012-08-02,28.2
2012-08-03,28.0
2012-08-04,27.3
2012-08-05,27.6
2012-08-06,26.8
2012-08-07,26.8
2012-08-08,25.1
2012-08-09,24.7
2012-08-10,25.8
2012-08-11,26.7
2012-08-12,26.4
2012-08-13,27.6
2012-08-14,26.5
2012-08-15,26.2
2012-08-16,27.6
2012-08-17,28.2
2012-08-18,26.6
2012-08-19,26.7
2012-08-20,26.8
2012-08-21,27.0
2012-08-22,27.6
2012-08-23,28.1
2012-08-24,28.2
2012-08-25,28.2
2012-08-26,28.4
2012-08-27,28.1
2012-08-28,27.8
2012-08-29,27.7
2012-08-30,28.9
2012-08-31,28.0
2013-08-01,26.1
2013-08-02,24.7
2013-08-03,24.5
2013-08-04,25.3
2013-08-05,26.7
2013-08-06,26.9
2013-08-07,27.6
2013-08-08,28.0
2013-08-09,28.7
2013-08-10,30.3
2013-08-11,30.8
2013-08-12,30.2
2013-08-13,28.7
2013-08-14,28.2
2013-08-15,28.3
2013-08-16,28.2
2013-08-17,28.0
2013-08-18,28.3
2013-08-19,28.8
2013-08-20,29.0
2013-08-21,28.6
2013-08-22,28.6
2013-08-23,28.4
2013-08-24,28.4
2013-08-25,24.1
2013-08-26,24.5
2013-08-27,24.1
2013-08-28,25.1
2013-08-29,25.6
2013-08-30,27.9
2013-08-31,28.2
2014-08-01,27.8
2014-08-02,29.3
2014-08-03,28.9
2014-08-04,28.7
2014-08-05,29.1
2014-08-06,29.1
2014-08-07,28.3
2014-08-08,27.3
2014-08-09,25.4
2014-08-10,26.0
2014-08-11,27.0
2014-08-12,25.3
2014-08-13,25.6
2014-08-14,26.5
2014-08-15,27.3
2014-08-16,26.6
2014-08-17,25.9
2014-08-18,27.0
2014-08-19,27.6
2014-08-20,28.5
2014-08-21,28.8
2014-08-22,28.5
2014-08-23,27.3
2014-08-24,26.9
2014-08-25,26.1
2014-08-26,24.9
2014-08-27,21.7
2014-08-28,21.1
2014-08-29,22.2
2014-08-30,21.8
2014-08-31,22.2
2015-08-01,28.4
2015-08-02,28.7
2015-08-03,28.4
2015-08-04,28.3
2015-08-05,28.3
2015-08-06,29.3
2015-08-07,30.7
2015-08-08,28.2
2015-08-09,27.5
2015-08-10,27.5
2015-08-11,28.1
2015-08-12,27.9
2015-08-13,26.6
2015-08-14,26.3
2015-08-15,26.5
2015-08-16,26.6
2015-08-17,25.8
2015-08-18,27.0
2015-08-19,26.2
2015-08-20,24.8
2015-08-21,25.3
2015-08-22,27.0
2015-08-23,26.0
2015-08-24,23.6
2015-08-25,21.2
2015-08-26,21.0
2015-08-27,23.2
2015-08-28,21.9
2015-08-29,20.9
2015-08-30,21.7
2015-08-31,22.4
2016-08-01,25.8
2016-08-02,25.0
2016-08-03,26.0
2016-08-04,26.7
2016-08-05,26.9
2016-08-06,27.7
2016-08-07,27.1
2016-08-08,27.5
2016-08-09,30.2
2016-08-10,27.6
2016-08-11,25.6
2016-08-12,25.5
2016-08-13,25.1
2016-08-14,25.5
2016-08-15,26.3
2016-08-16,26.8
2016-08-17,27.2
2016-08-18,26.7
2016-08-19,26.6
2016-08-20,25.6
2016-08-21,26.9
2016-08-22,25.5
2016-08-23,25.8
2016-08-24,25.8
2016-08-25,26.6
2016-08-26,26.5
2016-08-27,24.3
2016-08-28,22.3
2016-08-29,25.7
2016-08-30,25.8
2016-08-31,24.9
2017-08-01,26.0
2017-08-02,22.8
2017-08-03,23.3
2017-08-04,25.5
2017-08-05,26.8
2017-08-06,27.7
2017-08-07,27.8
2017-08-08,28.6
2017-08-09,29.2
2017-08-10,25.5
2017-08-11,23.5
2017-08-12,24.6
2017-08-13,26.0
2017-08-14,24.8
2017-08-15,23.9
2017-08-16,22.6
2017-08-17,23.8
2017-08-18,26.0
2017-08-19,25.6
2017-08-20,25.1
2017-08-21,26.2
2017-08-22,27.3
2017-08-23,28.9
2017-08-24,28.2
2017-08-25,28.9
2017-08-26,28.5
2017-08-27,25.5
2017-08-28,24.9
2017-08-29,27.6
2017-08-30,27.3
2017-08-31,21.4
2018-08-01,28.6
2018-08-02,29.6
2018-08-03,29.3
2018-08-04,28.3
2018-08-05,29.1
2018-08-06,28.0
2018-08-07,23.5
2018-08-08,24.4
2018-08-09,27.7
2018-08-10,28.5
2018-08-11,27.8
2018-08-12,26.7
2018-08-13,28.3
2018-08-14,28.1
2018-08-15,28.0
2018-08-16,27.7
2018-08-17,24.0
2018-08-18,21.1
2018-08-19,22.2
2018-08-20,23.8
2018-08-21,26.2
2018-08-22,27.7
2018-08-23,27.8
2018-08-24,27.4
2018-08-25,29.0
2018-08-26,29.2
2018-08-27,28.2
2018-08-28,26.3
2018-08-29,25.9
2018-08-30,27.5
2018-08-31,28.3
2019-08-01,29.2
2019-08-02,29.0
2019-08-03,28.3
2019-08-04,28.1
2019-08-05,28.4
2019-08-06,28.7
2019-08-07,28.8
2019-08-08,28.9
2019-08-09,29.3
2019-08-10,29.1
2019-08-11,29.2
2019-08-12,28.9
2019-08-13,29.5
2019-08-14,28.7
2019-08-15,28.2
2019-08-16,27.6
2019-08-17,28.9
2019-08-18,29.2
2019-08-19,27.7
2019-08-20,27.5
2019-08-21,26.4
2019-08-22,26.6
2019-08-23,26.4
2019-08-24,26.2
2019-08-25,25.4
2019-08-26,24.5
2019-08-27,24.8
2019-08-28,25.5
2019-08-29,27.7
2019-08-30,25.5
2019-08-31,26.7
2020-08-01,25.4
2020-08-02,25.4
2020-08-03,25.7
2020-08-04,27.0
2020-08-05,27.6
2020-08-06,27.2
2020-08-07,28.1
2020-08-08,27.7
2020-08-09,27.8
2020-08-10,29.4
2020-08-11,30.0
2020-08-12,29.9
2020-08-13,29.5
2020-08-14,29.1
2020-08-15,30.7
2020-08-16,30.7
2020-08-17,30.7
2020-08-18,29.9
2020-08-19,28.9
2020-08-20,29.7
2020-08-21,30.3
2020-08-22,30.0
2020-08-23,25.8
2020-08-24,26.4
2020-08-25,26.7
2020-08-26,27.4
2020-08-27,28.6
2020-08-28,29.0
2020-08-29,29.3
2020-08-30,29.6
